Periodo;c1;c2;c3;c4;c5
2025 | Enero - Marzo;2025;Ene - Mar;Extraordinaria;Pesos;53.943.664
2025 | Abril - Junio;2025;Abr - Jun;Ordinaria;Pesos;4.092.800
2025 | Abril - Junio;2025;Abr - Jun;Extraordinaria;Pesos;50.298.070
2025 | Abril - Junio;2025;Abr - Jun;Donaciones;Pesos;407.660
2025 | Julio - septiembre;2025;Jul - Sep;Ordinaria;Pesos;11.595.500
2025 | Julio - septiembre;2025;Jul - Sep;Extraordinaria;Pesos;37.435.317
2025 | Octubre - Diciembre;2025;Oct - Dic;Ordinaria;Pesos;14.248.100
2025 | Octubre - Diciembre;2025;Oct - Dic;Extraordinaria;Pesos;42.703.603
2026 | Enero - Marzo;2026;Ene - Mar;Ordinaria;Pesos;9749500
2026 | Enero - Marzo;2026;Ene - Mar;Extraordinaria;Pesos;22922950
