Periodo;c1;c2;c3;c4;c5;c6;c7
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;RESERVA PQAMZM;Pesos;53.792;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;RESERVA CDTWDD;Pesos;111.836;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;RESERVA PSCAPL;Pesos;37.906;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;RESERVA BZHZBM;Pesos;159.312;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;RESERVA CQJRWG;Pesos;68.624;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;EMPRESA NO ENTREGA LA FACTURA;Pesos;207.712;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;EMPRESA NO ENTREGA LA FACTURA;Pesos;38.396;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;EXCESO APORTE;Pesos;5.573.442;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;TRASLADO MATERIAL CAMPAÑA;Pesos;833.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;UNIFORME BRIGADISTAS;Pesos;1.486.310;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;COLIGÜES;Pesos;1.309.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;TRANSPORTE MATERIAL PARA CAMPAÑA;Pesos;900.001;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;PUBLICIDAD RADIAL;Pesos;678.300;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;REDES SOCIALES CAMPAÑA ELECTORAL;Pesos;500.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;FRASES RADIALES RADIO TAMARUGAL DE CALDERA;Pesos;1.175.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;VOLANTES DIPTICOS AUTOADHESIVOS;Pesos;1.813.560;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;IMPRESIONES BANNER CAMPAÑA;Pesos;1.074.856;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;FRASES RADIALES RADIO MARAY DE ATACAMA;Pesos;2.499.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;RESPALDO AUDIOVISUAL FRANJA ELECTORAL;Pesos;300.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;PUBLICIDAD PAG 10 EDICION 1897;Pesos;190.400;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;ARRIENDO ESPACIO RADIAL;Pesos;400.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;IMPRESIONES DE BANNER;Pesos;1.220.155;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;IMPRESIONES DE AFICHES;Pesos;2.536.380;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;CARPETAS Y CREDENCIALES PARA CAMPAÑA;Pesos;147.560;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;PRODUCCION EVENTO;Pesos;3.000.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;PUBLICIDAD POLÍTICA;Pesos;100.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;PUBLICIDAD RADIO XQA-5 Y RADIO ANDREA;Pesos;357.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;ARRIENDO ESPACIO RADIAL;Pesos;643.552;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;UNIFORME BRIGADISTAS;Pesos;278.460;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;PROPAGANDA ELECTORAL;Pesos;1.230.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;DIPTICOS PALOMAS;Pesos;6.775.265;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;DIPTICOS;Pesos;741.370;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;CAMPAÑA PUBLICITARIA;Pesos;568.112;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;CAMPAÑA PUBLICITARIA;Pesos;190.064;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;DIPTICOS COUCHE;Pesos;543.830;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;PUBLICIDAD RADIAL;Pesos;575.920;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;SERVICIO DE TRANSPORTE DE PALOMAS;Pesos;595.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;PROPAGANDA ELECTORAL;Pesos;1.289.701;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;BRIGADISTA DE CAMPAÑA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;PUBLICIDAD;Pesos;190.400;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Senadores;PUBLICIDAD;Pesos;190.400;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;VOLANTES;Pesos;2.142.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;BRIGASDISTA;Pesos;280.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;PROPAGANDA IMPRESA;Pesos;11.440.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;BRIGADISTA;Pesos;300.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;BRIGADISTA;Pesos;1.074.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;VOLANTES;Pesos;64.260;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;VOLANTES;Pesos;959.140;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;CHAPITAS Y BOLSAS;Pesos;721.140;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;BRIGADISTA;Pesos;300.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;BRIGADISTA;Pesos;600.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;BRIGADISTA;Pesos;220.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;BOLSAS TNT;Pesos;117.810;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;CORTAVIENTOS BRIGADISTAS;Pesos;450.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;BRIGADISTA;Pesos;660.000;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;VOLANTES;Pesos;633.080;Aprobado
2017 | OCTUBRE - DICIEMBRE;2017;Oct - Dic;Diputados;VOLANTES;Pesos;749.700;Aprobado
