Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2023;Jul - Sep;Gastos de Personal;Pesos;0;0;0;0;0;0;29.715.518;26.205.278;8.734.871;0;0;0
2023;Jul - Sep;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;0;0;0;0;0;0;30.362.549;24.722.691;34.321.785;0;0;0
2023;Jul - Sep;Gastos por Prestamos corto plazo;Pesos;0;0;0;0;0;0;4.023.934;0;2.028.766;0;0;0
2023;Jul - Sep;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Otros gastos de Administración;Pesos;0;0;0;0;0;0;1.967.097;2.166.255;5.450.961;0;0;0
2023;Jul - Sep;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Actividades de Educación Cívica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Actividades de Fomento a Participación Femenina;Pesos;0;0;0;0;0;0;2.790.864;2.044.876;0;0;0;0
2023;Jul - Sep;Actividades de Fomento a Participación Juvenil;Pesos;0;0;0;0;0;0;1.578.949;1.578.949;0;0;0;0
2023;Jul - Sep;Creditos corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Creditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Inversiones;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Valores de Operacion de Capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Preparación de candidatos (eleccion popular);Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Preparacion de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Honorarios Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Publicidad Electoral;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Gastos Menores Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Material Grafico Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Otros gastos Electorales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Transferencias entre cuentas;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Provisión de finiquito;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Jul - Sep;Activo fijo;Pesos;0;0;0;0;0;0;280.965;0;0;0;0;0
2023;Jul - Sep;Anticipo Proveedores;Pesos;0;0;0;0;0;0;0;0;5.680.000;0;0;0
2023;Jul - Sep;Cheque en Garantía;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
