Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2023;Ene - Mar;Gastos de Personal;Pesos;25.854.403;8.108.924;43.241.101;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;109.610.863;43.196.258;99.160.192;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Gastos por Prestamos corto plazo;Pesos;0;521.889;263.329;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Otros gastos de administración;Pesos;16.090.056;1.018.388;3.795.798;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Actividades de Educación Cívica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Actividades de Fomento a Participación Femenina;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Actividades de Fomento a Participación Juvenil;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Créditos corto plazo;Pesos;0;8.207.199;3.971.310;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Créditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Inversiones;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Valores de Operación de Capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Preparación de candidatos (elección popular);Pesos;0;0;91.000.000;0;0;0;0;0;0;0;0;0
2023;Ene - Mar;Preparacion de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
