Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2024;Ene - Mar;Gastos de Personal;Pesos;48.202.164;11.313.912;30.229.330;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;103.249.090;8.218.860;9.177.977;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Gastos por Prestamos corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Otros gastos de Administración;Pesos;1.902.824;5.943.126;7.218.594;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Actividades 10% mujer;Pesos;7.070.000;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Actividades de Fomento a Participación Femenina;Pesos;5.616.798;0;509.100;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Actividades de Fomento a Participación Juvenil;Pesos;3.340.018;0;1.673.168;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Creditos corto plazo;Pesos;4.719.713;0;5.002.845;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Creditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Honorarios Campaña;Pesos;5.000.000;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Publicidad Electoral;Pesos;692.740;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Gastos Menores Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Material Grafico Campaña;Pesos;892.500;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Otros gastos Electorales;Pesos;1.166.346;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Transferencias entre cuentas;Pesos;0;200.000;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Provisión de finiquito;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Activo fijo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Anticipo Proveedores;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Cheque en Garantía;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Eventos Partidarios;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Gastos Notariales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Reintegros;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Campaña Alcaldes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Campaña Concejales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Campaña Consejeros Regionales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Ene - Mar;Campaña Gobernadores Regionales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
