Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2023;Oct - Dic;Gastos de Personal;Pesos;25.854.403;8.108.924;43.241.101;9.659.955;38.783.134;41.642.641;29.715.518;26.205.278;8.734.871;22.683.516;28.681.701;36.931.784
2023;Oct - Dic;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;109.610.863;43.196.258;99.160.192;13.507.214;52.507.554;32.344.288;30.362.549;24.722.691;34.321.785;12.908.797;11.938.860;14.207.114
2023;Oct - Dic;Gastos por Prestamos corto plazo;Pesos;0;521.889;263.329;0;8.368.932;4.294.334;4.023.934;0;2.028.766;3.014.465;0;4.431.822
2023;Oct - Dic;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Oct - Dic;Otros gastos de Administración;Pesos;16.090.056;1.018.388;3.795.798;2.372.173;7.460.922;5.536.719;1.967.097;2.166.255;5.450.961;2.227.969;929.953;5.698.018
2023;Oct - Dic;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Oct - Dic;Actividades de Educación Cívica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Oct - Dic;Actividades de Fomento a Participación Femenina;Pesos;0;0;0;0;953.356;2.055.606;2.790.864;2.044.876;0;1.955.828;5.019.147;7.331.428
2023;Oct - Dic;Actividades de Fomento a Participación Juvenil;Pesos;0;0;0;480.037;2.593.410;2.515.894;1.578.949;1.578.949;0;1.222.749;1.923.099;1.222.749
2023;Oct - Dic;Creditos corto plazo;Pesos;0;8.207.199;3.971.310;0;0;0;0;0;0;0;0;0
2023;Oct - Dic;Creditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Oct - Dic;Inversiones;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Oct - Dic;Valores de Operacion de Capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Oct - Dic;Preparación de candidatos (eleccion popular);Pesos;0;0;91.000.000;2.100.000;0;0;0;0;0;0;0;0
2023;Oct - Dic;Preparacion de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2023;Oct - Dic;Honorarios Campaña;Pesos;0;0;0;3.230.000;2.304.600;0;0;0;0;0;0;6.000.000
2023;Oct - Dic;Publicidad Electoral;Pesos;0;0;0;62.962.072;74.669.497;0;0;0;0;0;82.743.871;219.281.370
2023;Oct - Dic;Gastos Menores Campaña;Pesos;0;0;0;270.810;305.600;0;0;0;0;0;1.024.000;693.547
2023;Oct - Dic;Material Grafico Campaña;Pesos;0;0;0;0;4.470.235;0;0;0;0;0;357.000;22.495.498
2023;Oct - Dic;Otros gastos Electorales;Pesos;0;0;0;710.787;2.781.362;0;0;0;0;0;1.862.535;3.440.842
2023;Oct - Dic;Transferencias entre cuentas;Pesos;0;0;0;0;170.592;0;0;0;0;0;300.000;127.460
2023;Oct - Dic;Provisión de finiquito;Pesos;0;0;0;0;0;3.086.000;0;0;0;0;0;0
2023;Oct - Dic;Activo fijo;Pesos;0;0;0;0;0;0;280.965;0;0;0;0;0
2023;Oct - Dic;Anticipo Proveedores;Pesos;0;0;0;0;0;0;0;0;5.680.000;0;0;0
2023;Oct - Dic;Cheque en Garantía;Pesos;0;0;0;0;0;0;0;0;0;0;9.026.524;0
