Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2022;Ene - Mar;Gastos de Personal;Pesos;30.643.828;26.521.824;29.971.005;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;1.149.118;986.457;4.949.099;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Gastos por Prestamos corto plazo;Pesos;0;0;678.954;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Otros gastos de administración;Pesos;780.834;304.490;1.879.436;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Actividades de Educación Cívica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Actividades de Fomento a Participación Femenina;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Actividades de Fomento a Participación Juvenil;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Créditos corto plazo;Pesos;5.331.659;3.490.848;46.245.023;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Créditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Inversiones;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Valores de Operación de Capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Preparación de candidatos (elección popular);Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Ene - Mar;Preparacion de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
