Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2024;Oct - Dic;Gastos de Personal;Pesos;48.202.164;11.313.912;30.229.330;18.187.039;30.915.293;26.562.748;24.114.681;34.481.694;29.825.913;22.274.228;59.575.569;44.619.531
2024;Oct - Dic;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;103.249.090;8.218.860;9.177.977;13.364.448;9.399.867;11.664.909;22.199.915;12.565.937;4.769.876;12.420.856;31.789.198;28.770.914
2024;Oct - Dic;Gastos por Prestamos corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;2.000.000
2024;Oct - Dic;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Oct - Dic;Otros gastos de Administración;Pesos;1.902.824;5.943.126;7.218.594;7.677.117;3.496.738;2.481.057;4.755.469;8.423.002;1.426.541;6.202.118;8.200.497;14.971.939
2024;Oct - Dic;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Oct - Dic;Actividades 10% mujer;Pesos;7.070.000;0;0;1.650.000;0;0;0;0;0;0;0;0
2024;Oct - Dic;Actividades de Fomento a Participación Femenina;Pesos;5.616.798;0;509.100;608.920;2.109.130;2.109.271;2.503.251;2.109.554;1.509.100;2.338.863;4.677.978;13.113.750
2024;Oct - Dic;Actividades de Fomento a Participación Juvenil;Pesos;3.340.018;0;1.673.168;2.214.320;1.656.198;1.656.197;1.227.250;1.673.168;1.673.169;1.430.482;1.734.124;1.290.476
2024;Oct - Dic;Creditos corto plazo;Pesos;4.719.713;0;5.002.845;4.839.876;4.522.549;5.557.754;4.554.804;0;2.160.268;9.198.656;2.431.109;10.872.159
2024;Oct - Dic;Creditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Oct - Dic;Honorarios Campaña;Pesos;5.000.000;0;0;0;0;0;0;0;0;0;0;0
2024;Oct - Dic;Publicidad Electoral;Pesos;692.740;0;0;0;0;0;0;0;0;3.327.463;4.165.000;0
2024;Oct - Dic;Gastos Menores Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Oct - Dic;Material Grafico Campaña;Pesos;892.500;0;0;0;0;0;0;0;0;0;0;0
2024;Oct - Dic;Otros gastos Electorales;Pesos;1.166.346;0;0;0;0;0;0;0;0;0;3.213.000;0
2024;Oct - Dic;Transferencias entre cuentas;Pesos;0;200.000;0;40.000.000;20.086.314;700.000;0;0;1.000.000;8.030.031;0;0
2024;Oct - Dic;Provisión de finiquito;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Oct - Dic;Activo fijo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Oct - Dic;Anticipo Proveedores;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Oct - Dic;Cheque en Garantía;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Oct - Dic;Eventos Partidarios;Pesos;0;0;0;464.100;0;0;0;0;0;0;0;0
2024;Oct - Dic;Gastos Notariales;Pesos;0;0;0;0;5.800;0;0;0;0;0;0;0
2024;Oct - Dic;Reintegros;Pesos;0;0;0;0;0;0;0;6.645.188;6.867.961;0;0;0
2024;Oct - Dic;Campaña Alcaldes;Pesos;0;0;0;0;0;0;0;0;273.679.301;6.209.400;0;0
2024;Oct - Dic;Campaña Concejales;Pesos;0;0;0;0;0;0;0;0;409.046.414;11.720.000;0;0
2024;Oct - Dic;Campaña Consejeros Regionales;Pesos;0;0;0;0;0;0;0;0;194.245.747;132.740.616;2.425.751;0
2024;Oct - Dic;Campaña Gobernadores Regionales;Pesos;0;0;0;0;0;0;0;0;76.675.000;12.232.895;34.000.000;0
