Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2024;Jul - Sep;Gastos de Personal;Pesos;0;0;0;0;0;0;24.114.681;34.481.694;29.825.913;0;0;0
2024;Jul - Sep;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;0;0;0;0;0;0;22.199.915;12.565.937;4.769.876;0;0;0
2024;Jul - Sep;Gastos por Prestamos corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Otros gastos de Administración;Pesos;0;0;0;0;0;0;4.755.469;8.423.002;1.426.541;0;0;0
2024;Jul - Sep;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Actividades 10% mujer;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Actividades de Fomento a Participación Femenina;Pesos;0;0;0;0;0;0;2.503.251;2.109.554;1.509.100;0;0;0
2024;Jul - Sep;Actividades de Fomento a Participación Juvenil;Pesos;0;0;0;0;0;0;1.227.250;1.673.168;1.673.169;0;0;0
2024;Jul - Sep;Creditos corto plazo;Pesos;0;0;0;0;0;0;4.554.804;0;2.160.268;0;0;0
2024;Jul - Sep;Creditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Honorarios Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Publicidad Electoral;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Gastos Menores Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Material Grafico Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Otros gastos Electorales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Transferencias entre cuentas;Pesos;0;0;0;0;0;0;0;0;1.000.000;0;0;0
2024;Jul - Sep;Provisión de finiquito;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Activo fijo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Anticipo Proveedores;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Cheque en Garantía;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Eventos Partidarios;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Gastos Notariales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2024;Jul - Sep;Reintegros;Pesos;0;0;0;0;0;0;0;6.645.188;6.867.961;0;0;0
2024;Jul - Sep;Campaña Alcaldes;Pesos;0;0;0;0;0;0;0;0;273.679.301;0;0;0
2024;Jul - Sep;Campaña Concejales;Pesos;0;0;0;0;0;0;0;0;409.046.414;0;0;0
2024;Jul - Sep;Campaña Consejeros Regionales;Pesos;0;0;0;0;0;0;0;0;194.245.747;0;0;0
2024;Jul - Sep;Campaña Gobernadores Regionales;Pesos;0;0;0;0;0;0;0;0;76.675.000;0;0;0
