Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2025;Oct - Dic;Gastos de Personal;Pesos;56.633.189;48.555.132;34.947.637;28.913.965;37.429.775;36.694.774;44.633.427;21.011.213;28.752.855;59.551.077;42.770.701;18.656.152
2025;Oct - Dic;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;58.462.232;25.631.239;27.524.310;3.990.144;22.411.641;27.186.310;45.953.490;11.024.206;22.551.473;9.336.895;5.641.443;6.737.738
2025;Oct - Dic;Gastos por Prestamos corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Otros gastos de Administración;Pesos;11.781.754;5.871.778;25.183.082;18.558.390;7.795.405;7.577.170;9.527.218;4.583.270;22.055.237;48.831.977;2.767.166;6.249.689
2025;Oct - Dic;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Actividades 10% mujer;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Actividades de Fomento a Participación Femenina;Pesos;1.201.730;2.403.466;1.201.733;0;0;1.530.535;0;0;0;0;0;0
2025;Oct - Dic;Actividades de Fomento a Participación Juvenil;Pesos;1.700.000;2.300.008;1.700.006;0;0;1.700.006;0;0;0;0;0;0
2025;Oct - Dic;Creditos corto plazo;Pesos;13.553.619;4.598.150;4.192.037;0;0;0;0;0;10.000.000;6.455.404;4.459.893;0
2025;Oct - Dic;Creditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Honorarios Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Publicidad Electoral;Pesos;0;0;0;0;0;9.852.000;0;0;0;0;0;0
2025;Oct - Dic;Gastos Menores Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Material Grafico Campaña;Pesos;0;0;0;0;0;3.000.000;0;0;0;0;0;0
2025;Oct - Dic;Otros gastos Electorales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Transferencias entre cuentas;Pesos;1.000.000;0;2.500.000;3.250.000;2.300.000;8.700.000;7.000.000;3.850.000;5.830.000;4.500.000;439.041.000;0
2025;Oct - Dic;Provisión de finiquito;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Activo fijo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Anticipo Proveedores;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Cheque en Garantía;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Eventos Partidarios;Pesos;0;0;100.000;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Gastos Notariales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Reintegros;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Campaña Alcaldes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Campaña Concejales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Campaña Consejeros Regionales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Campaña Gobernadores Regionales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Oct - Dic;Campaña Primarias Presidencial;Pesos;0;0;0;0;0;7.000.000;0;0;0;0;0;0
2025;Oct - Dic;Campaña Presidencial;Pesos;0;0;0;0;0;0;0;0;0;0;310.290.000;0
2025;Oct - Dic;Campaña Diputados;Pesos;0;0;0;0;0;0;0;0;0;19.190.837;0;0
2025;Oct - Dic;Gasto Electoral Presidencial;Pesos;0;0;0;0;0;0;0;0;0;0;8.877.935;0
2025;Oct - Dic;Gasto Electoral Diputados;Pesos;0;0;0;0;0;0;0;0;0;0;102.610.982;0
2025;Oct - Dic;Gasto Electoral Senadores;Pesos;0;0;0;0;0;0;0;0;0;0;45.102.953;0
2025;Oct - Dic;Aporte Electoral;Pesos;0;0;0;0;0;0;0;0;0;1.000.000;48.500.000;0
2025;Oct - Dic;Devolución Transferencia Errónea;Pesos;0;0;0;0;0;0;0;0;0;3.000.000;5.000.000;0
2025;Oct - Dic;Cheque Devuelto;Pesos;0;0;0;0;0;0;0;0;0;0;17.825.837;0
2025;Oct - Dic;Aporte Campaña Diputados;Pesos;0;0;0;0;0;0;0;0;0;0;85.500.000;0
2025;Oct - Dic;Aporte Campaña Senadores;Pesos;0;0;0;0;0;0;0;0;0;0;31.500.000;0
2025;Oct - Dic;Aporte Candidato Diputado;Pesos;0;0;0;0;0;0;0;0;0;0;4.000.000;0
