Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2026;Ene - Mar;Gastos de Personal;Pesos;25.947.995;53.119.687;56.738.062;0;0;0;0;0;0;0;0;0
2026;Ene - Mar;Gastos de adquisición de bienes y servicios o gastos corrientes;Pesos;4.133.373;2.868.637;15.427.162;0;0;0;0;0;0;0;0;0
2026;Ene - Mar;Gastos financieros por préstamos de corto plazo;Pesos;0;0;4.942.000;0;0;0;0;0;0;0;0;0
2026;Ene - Mar;Cheque cobrado por caja;Pesos;0;5.554.000;0;0;0;0;0;0;0;0;0;0
2026;Ene - Mar;Otros gastos de administración;Pesos;5.051.576;20.789.443;14.131.749;0;0;0;0;0;0;0;0;0
2026;Ene - Mar;Transferencias entre cuentas;Pesos;0;25.957.101;7.712.603;0;0;0;0;0;0;0;0;0
2026;Ene - Mar;Abono Mutuo por pagar;Pesos;0;0;1.000.000;0;0;0;0;0;0;0;0;0
