Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2025;Abr - Jun;Gastos de Personal;Pesos;0;0;0;28.913.965;37.429.775;36.694.774;0;0;0;0;0;0
2025;Abr - Jun;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;0;0;0;3.990.144;22.411.641;27.186.310;0;0;0;0;0;0
2025;Abr - Jun;Gastos por Prestamos corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Otros gastos de Administración;Pesos;0;0;0;18.558.390;7.795.405;7.577.170;0;0;0;0;0;0
2025;Abr - Jun;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Actividades 10% mujer;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Actividades de Fomento a Participación Femenina;Pesos;0;0;0;0;0;1.530.535;0;0;0;0;0;0
2025;Abr - Jun;Actividades de Fomento a Participación Juvenil;Pesos;0;0;0;0;0;1.700.006;0;0;0;0;0;0
2025;Abr - Jun;Creditos corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Creditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Honorarios Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Publicidad Electoral;Pesos;0;0;0;0;0;9.852.000;0;0;0;0;0;0
2025;Abr - Jun;Gastos Menores Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Material Grafico Campaña;Pesos;0;0;0;0;0;3.000.000;0;0;0;0;0;0
2025;Abr - Jun;Otros gastos Electorales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Transferencias entre cuentas;Pesos;0;0;0;3.250.000;2.300.000;8.700.000;0;0;0;0;0;0
2025;Abr - Jun;Provisión de finiquito;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Activo fijo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Anticipo Proveedores;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Cheque en Garantía;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Eventos Partidarios;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Gastos Notariales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Reintegros;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Campaña Alcaldes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Campaña Concejales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Campaña Consejeros Regionales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Campaña Gobernadores Regionales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Campaña Primarias Presidencial;Pesos;0;0;0;0;0;7.000.000;0;0;0;0;0;0
2025;Abr - Jun;Campaña Presidencial;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Campaña Diputados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Gasto Electoral Presidencial;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Gasto Electoral Diputados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Gasto Electoral Senadores;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Aporte Electoral;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Devolución Transferencia Errónea;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Cheque Devuelto;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Aporte Campaña Diputados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Aporte Campaña Senadores;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Abr - Jun;Aporte Candidato Diputado;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
