Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2025;Ene - Mar;Gastos de Personal;Pesos;56.633.189;48.555.132;34.947.637;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;58.462.232;25.631.239;27.524.310;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Gastos por Prestamos corto plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Otros gastos de Administración;Pesos;11.781.754;5.871.778;25.183.082;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Actividades 10% mujer;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Actividades de Fomento a Participación Femenina;Pesos;1.201.730;2.403.466;1.201.733;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Actividades de Fomento a Participación Juvenil;Pesos;1.700.000;2.300.008;1.700.006;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Creditos corto plazo;Pesos;13.553.619;4.598.150;4.192.037;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Creditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Honorarios Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Publicidad Electoral;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Gastos Menores Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Material Grafico Campaña;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Otros gastos Electorales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Transferencias entre cuentas;Pesos;1.000.000;0;2.500.000;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Provisión de finiquito;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Activo fijo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Anticipo Proveedores;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Cheque en Garantía;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Eventos Partidarios;Pesos;0;0;100.000;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Gastos Notariales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Reintegros;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Campaña Alcaldes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Campaña Concejales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Campaña Consejeros Regionales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Campaña Gobernadores Regionales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Campaña Primarias Presidencial;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Campaña Presidencial;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Campaña Diputados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Gasto Electoral Presidencial;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Gasto Electoral Diputados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Gasto Electoral Senadores;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Aporte Electoral;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Devolución Transferencia Errónea;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Cheque Devuelto;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Aporte Campaña Diputados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Aporte Campaña Senadores;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2025;Ene - Mar;Aporte Candidato Diputado;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
