Año Informado;Trimestre Informado;Item de Gastos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2022;Abr - Jun;Gastos de Personal;Pesos;30.643.828;26.521.824;29.971.005;26.590.744;27.024.861;36.646.727;32.441.510;36.437.971;36.807.736;0;0;0
2022;Abr - Jun;Adquisición de Bienes o Servicios y Gastos corrientes;Pesos;1.149.118;986.457;4.949.099;8.170.712;4.868.706;18.969.922;91.121.644;139.596.127;54.403.459;0;0;0
2022;Abr - Jun;Gastos por Prestamos corto plazo;Pesos;0;0;678.954;0;0;0;1.408.651;437.163;0;0;0;0
2022;Abr - Jun;Gastos por Prestamos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Abr - Jun;Otros gastos de administración;Pesos;780.834;304.490;1.879.436;831.344;1.310.218;879.914;4.647.162;1.072.942;793.030;0;0;0
2022;Abr - Jun;Actividades de Investigación;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Abr - Jun;Actividades de Educación Cívica;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Abr - Jun;Actividades de Fomento a Participación Femenina;Pesos;0;0;0;0;0;0;0;4.854.520;28.700.000;0;0;0
2022;Abr - Jun;Actividades de Fomento a Participación Juvenil;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Abr - Jun;Créditos corto plazo;Pesos;5.331.659;3.490.848;46.245.023;0;1.955.518;2.085.649;38.540.595;5.992.378;0;0;0;0
2022;Abr - Jun;Créditos largo plazo;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Abr - Jun;Inversiones;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Abr - Jun;Valores de Operación de Capital;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Abr - Jun;Preparación de candidatos (elección popular);Pesos;0;0;0;0;0;0;0;0;0;0;0;0
2022;Abr - Jun;Preparacion de militantes;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
